sentence_id	sentence	sentence_domain	source
0502f47ac074cf114d942313efe8ff9b7333c571f986e799b20d844f046c9c32	lau mặt cho thầy		I took sentences from a website of Vietnamese storytelling.
05119f247f856964215e106cc5b13ae0c6feef323cd638f8f7b024fd9393f1a3	Nên có lẽ không có con		I took sentences from a website of Vietnamese storytelling.
0514c27df55e7b7411b69ed18945903f5b85271b6ee4589a8c474892ecf189af	khiến cho cả hai gã cứ phải lục đi lục lại sợ sót		I took sentences from a website of Vietnamese storytelling.
051a6aac45a64668650c920afdaf8dc77bd770620aa60111f45587d3691435aa	Lúc này kha mới gật đầu nói		I took sentences from a website of Vietnamese storytelling.
05286f0b34ce62d4dcd99b84262bd32688b1dde615e9722f1197f98860380d08	Không thể có bất cứ một thân xác của cương thi		I took sentences from a website of Vietnamese storytelling.
05496a4e26da4c24662b7fb54e8fdddb018c565dd333fa8acb92961c9384db5b	Thì qua nhiều đêm dù là liễu quỷ không hại người		I took sentences from a website of Vietnamese storytelling.
0562270d7b2f606ed780df1f9fc41ec82913f4c8c928211216ed9a321c4afc37	Chồng tôi muốn làm gì thì làm		I took sentences from a website of Vietnamese storytelling.
056f6919d4e9f3ba23e4b79ba07d46a28b8833de448d9dfee09f63cb8bd6a621	Quả tim đã đập mạnh như muốn phá tan cái ngực.		Tác ph?m c?a V? Tr?ng Ph?ng
05737977b51a214a39923f355090d592fbcf96f13e9612be42b872597b2da02f	Tình thâm máu mủ ruột rà yêu thương		th? l?c bát
05891b373e5c73d35a438d0ef69e26213e0a7e94fb3b496b4e763ece936053a7	Càng ở đây thì mọi chuyện càng rắc rối thêm		I took sentences from a website of Vietnamese storytelling.
0597865106ea5cdc5469c1999cbf81cbc8fa1dc96c5faa4db962b7ef4620dbab	Thì đều lắc đầu lè lưỡi không tin nổi		I took sentences from a website of Vietnamese storytelling.
05989b8b4a368a1a28b201c1f8e3e32f8d216089fb2a53f0cb65c6015c2dceef	Lưu tiên sinh đang làm phép		I took sentences from a website of Vietnamese storytelling.
05a7fd77523ba2cdb00f235137343d0a42bbf044f04f7eca67e3044403d04ff6	Ở trên đỉnh núi đang tiến về phía này		I took sentences from a website of Vietnamese storytelling.
05b5df0b50dd4e8281c6d3676ffcc846e707a5d5e17090925b5bdf001a554104	Hình như cậu đã bị mất nhiều máu		I took sentences from a website of Vietnamese storytelling.
05c06c34d93c21bb56806d310083d3b3ee3846b24a53a0853145a8c4fc606269	Bỏ phố buồn vội vã giữa trời không		th?
05c531e1d3b4f79443e2822a622d214a149de2b0e3f5b988fcebf465c1904fe1	Lửa bùng cháy lên dường như có tác dụng ngay lập tức		I took sentences from a website of Vietnamese storytelling.
05c611f47fff3f3ff47482eb23046ae38988d2aad8f5aa3dc4bba15883c841eb	Em xin xoá bỏ sóng ngầm đời anh		th? l?c bát
05d82e8c72d2c8fbf5c16a791add9f1b56cbf5bf39db7df617470ff2753d144f	Sông Thu in bóng luỹ tre ven làng.		th? l?c bát 
05f52eec333c56a788d80befb40160375cfeb21a1559c0855af25f503e91f818	hi vọng chợt bừng lên, ông phúc nghĩ		I took sentences from a website of Vietnamese storytelling.
05fb19de907a313c5649f9f8fc4a0306d08b342092d74125db6f5e0c106e0b3b	Bố chồng tôi đã chỉ đường dẫn lối phù hộ		I took sentences from a website of Vietnamese storytelling.
05fc946298c57a262903dca25422db8f646bda7e062fd9b4b75b6b9c6d7d7549	Ông ta quay đầu trở lại tế đàn		I took sentences from a website of Vietnamese storytelling.
06015f7caf87e693737a0b92e94062bf80c70fe814e29604b52f813d0e0a339c	Theo tiếng Thái cổ thì kuman có nghĩa là cậu bé		I took sentences from a website of Vietnamese storytelling.
060f40016dc9eddfa02184fd59cf62c4a13004ad2fc65c3c7ae9ba65de257b7d	Quần áo lấm bẩn		I took sentences from a website of Vietnamese storytelling.
061955369f3931b60f7810b874c420615ddc6b148ee6465d101913f0cbeacc8c	những tên người làm cháy bâu lại bắt lấy hắn ta		I took sentences from a website of Vietnamese storytelling.
06244c036bdee94cc54c114b540d0f0feae098c180a07e28ac2824c34285cd5e	Chỉ ngồi trông thôi mà tôi cũng mấy lần sợ phát khiếp		I took sentences from a website of Vietnamese storytelling.
06257230b1044f698f72521c53851101b785788ce95527b539ff7ecea046c0d3	Dân quê rạng rỡ nụ cười		th? l?c bát 
062bac753c9ea5322bb2839dc2febe1598a9fe01be508117ce0dab40f2411e82	Ba người bọn họ nghe ông Khanh nói như vậy		I took sentences from a website of Vietnamese storytelling.
06425b7bbcd52f0a75c56fe57deb8cbeb087af554939cd9cd01f997e5e074a37	Chú long đập tay xuống bàn rồi nói		I took sentences from a website of Vietnamese storytelling.
0650924f39d3e2a5f56ce05db296f9f19b1f8aac413e52c7a8013b2ee86447f6	Rồi có cả tiếng cười đùa của một đám người vô duyên nào đó		I took sentences from a website of Vietnamese storytelling.
065196906b2bb1beb7b4f09d32b3ed00b1ebd81a4ae92b51fb62a172d06ba202	Nhưng mà nếu tôi không đi		I took sentences from a website of Vietnamese storytelling.
065b053c536f6aec66c185706f9d7415dc9bb88c070455b4585ceab356db5d9c	để nhằm mục đích ổn định lại phần xác		I took sentences from a website of Vietnamese storytelling.
06652c439737d771f535fc9dcc00468c3873580152834c3f1c1c785cb72c69b2	Chồng tôi cúi gằm mặt lí nhí nói		I took sentences from a website of Vietnamese storytelling.
06731528ad7ba0429f5c36fc6afcaef9fb433fee217fa2acd011e5932dbe2921	Vậy nên chúng ta chỉ cần phá trinh tiết của nó là xong		I took sentences from a website of Vietnamese storytelling.
068c694bcaa6081797d46aa16d949ced57716d94fa3e23785719347892955580	Nhanh thoăn thoắt biến mất vào màn đêm		I took sentences from a website of Vietnamese storytelling.
0698e8d71d7ddc2ed4989049fcc13fb9b93655420c3e3fc5468dcee5b6af9a0d	Nỗi niềm em có biết không?		th? l?c bát
069ecbbcc30401c2aed83fa2ba0d92ef97dcb0711b428413125930ba7e84f4c8	Hết thật rồi Cậu giỏi quá		I took sentences from a website of Vietnamese storytelling.
06ae76d7efdc7a9df3d9707f73a6d7c1ffd51c970e9b9fb94575c9e4c668673f	Hi vọng phép màu sẽ xảy ra		I took sentences from a website of Vietnamese storytelling.
06aeb80bb817d4490b3478794fa976e35bba5634e677a08d56fdaa63b9a34628	Đợt này biết Tin nàng có nạn		I took sentences from a website of Vietnamese storytelling.
06c0e7ec7ce3407976b9fccfeb41caf223d72adbbcaa2c5af098310311da7119	Thì nó hiện ra rõ nó là một chiếc quan tài cũ kỹ		I took sentences from a website of Vietnamese storytelling.
06d3ec935627134500981a17c5ee30404bc288f09d9428d039a74bd051d9b9ed	Long		I took sentences from a website of Vietnamese storytelling.
06f7b4e6756773d9399f0f7d4ed98e6e7acb238d70883e1c61b131a51034d87a	nam tỉnh dậy		I took sentences from a website of Vietnamese storytelling.
07032500c931225d905de1e9ceaf0befa0a5d47b5f930f9bd5584f519d59e7be	Cũng vì con phải mưu sinh		th? l?c bát
070a428c647b4546cc31ecb08bfa9c9cfe5b277285c67c97fe94141d248eea51	Bà ấy đã giúp tôi		I took sentences from a website of Vietnamese storytelling.
0724087e98bd8298e404cb4c14141caae2cb02a84a478678e85407cb80e82317	luật pháp việt nam khá rắc rối		tôi t? ngh? 
072706491556ea6c232efd5f57773bd51a0b0ea122aa235af3f4fa78274f16dd	Bầu trời đang đầy sao		I took sentences from a website of Vietnamese storytelling.
0728f131c316296a9781c90e239d47b6e2b7688cf415819f3c93c6895f93f0c6	Chỉ như khách trọ qua cầu ...là xong!!!		th? l?c bát 
073dc522a3b3a8043ec5d77d08d807e2c10288d833a7804bd33c1831fbf1aab4	Bác cứ khách sáo Bác giúp đỡ nhạc con nhiều rồi		I took sentences from a website of Vietnamese storytelling.
07477da0bcbef4adb93d43f547ea0674a32823082987d4a850da690d070838d5	nhe răng nhìn mọi người bên ngoài một cách ghê rợn		I took sentences from a website of Vietnamese storytelling.
074cda12882b4cfad162aec7be6d26ad67f8cfdf76031251fd6f2746b0ff22b5	Ông Khanh mới dám bước xuống đây một lần nữa		I took sentences from a website of Vietnamese storytelling.
075a059842664fd33773d9f67c0dbd4e1741e4d163e0ea1ea94a16ce21121620	ông phúc tái mặt chưa kịp phản kháng		I took sentences from a website of Vietnamese storytelling.
075c86a5141e7d5d61103400bce82093d0a85581cca3eaa185a50b1e0b3d1495	Đến đêm		I took sentences from a website of Vietnamese storytelling.
076a29e6078b942f1091ae62340096dc6db1bafc01bce78e2874656b6352a289	có ai dám đưa con cái ra ngoài đâu		I took sentences from a website of Vietnamese storytelling.
07705dcc66f3e281bbdb78163f4ee4489ef1a910afd68890606682e4cfb8b1fd	Buổi tối hôm ấy		I took sentences from a website of Vietnamese storytelling.
07896f446dec9f9e0c1a042ba1516fd448b266bd1583c095b4e616301ff89575	Không như các thứ trò chơi		th? l?c bát
07928e65ea4a19c52733cba226094873b7641fdc1b6c17da9a7d195fe399121e	anh phải tim em		tôi t? ngh?
07a999d014eafb7ab0793c461c94aa4bd8a893504b46c350d8f238b61ee34da5	Cắn chặt môi quay mặt đi		I took sentences from a website of Vietnamese storytelling.
07bb38f69f3c1b62aa29f42579ec0d65c965754204d2f340f3c2cfc7439f31b3	Có thể nhìn thấy cây cối trong màn sương mờ		I took sentences from a website of Vietnamese storytelling.
07be5112f7ef38e044145384c1fa76610bb908350582f5ebfc3fa073ab446b98	Thương dằn vặt trong lòng		I took sentences from a website of Vietnamese storytelling.
07d46e11dcc2dff10f5e0af118b91181b6869b9ff056a4f4eb271894f0882c7f	Mỗi người chạy về một hướng		I took sentences from a website of Vietnamese storytelling.
07f004a0a18bff9c42166ba9fd5bcadc87781630e05fd14940c6bd5ba3fe975d	Ánh mắt xa xăm nhìn ra phía cửa sổ		I took sentences from a website of Vietnamese storytelling.
07f99f9b5afedc0831718b8215790e120af700b0b8d275c9bf98ca57299ef297	Đặt những thứ vàng mã nào ngựa		I took sentences from a website of Vietnamese storytelling.
08028265271c2f337ace7053f813874b864c8dff7c0daed4ca7d729a2b4eb902	Một con búp bê biết đi đang đứng ngoài cửa sổ		I took sentences from a website of Vietnamese storytelling.
0807d9f3c90d91a9a7d669a85c4722a120ffe96259dd674a5a39c0c384ba86c6	Để xác định được phương án động thổ phù hợp		I took sentences from a website of Vietnamese storytelling.
081b80cae1021168ad1b1652cb8ff88c08ec8e381eccae51316997c36e681bca	mà bác nhìn thấy ai		I took sentences from a website of Vietnamese storytelling.
081de6b31ac963363f49057282e09c04ca697c206c4f408c01601db7cbf8b9fd	Với những vệt mây kéo dài che khuất cả trăng lẫn sao		I took sentences from a website of Vietnamese storytelling.
081fa72aa7453f4141eeb1f5338776dfc6518e78e48d74a0d75a993d6bc5e4ef	Anh Vân bỗng ủ dột, muốn như cỏ vẻ chán đời.		Tác ph?m c?a V? Tr?ng Ph?ng.
0826504df8688bd2e0753d63687cfa2239f0c181e88b7b084e70294e6af2e78d	Đúng là đời		I took sentences from a website of Vietnamese storytelling.
082d5525639d69c4a8e5197377b3d565a7690f86a3689e6d520075015a3a3368	Để quên vạt nắng hanh hao cuối chiều		th? l?c bát
082fa1be3d1b354c9d2113ec013e1ce696d95a1069f2d5ca0bf83b5650c8db64	Mấy năm gác cổng trông nhà		th? l?c bát 
0833bdaca644ba6124aea0c451e42eb746f8cbfb6be5c948e33f16e18d2752ba	Không thể tránh khỏi		I took sentences from a website of Vietnamese storytelling.
084736dc494cf094c387ce209755249d09c6444010ad1d6dfebb2869038980ab	Thì tôi với ông còn biết phải làm gì		I took sentences from a website of Vietnamese storytelling.
084e18ff0ba472cf358bd46109b42f823e73a64c5de58d44d8f1854bff2a034c	cái cuốc được bổ mạnh xuống giường		I took sentences from a website of Vietnamese storytelling.
08628096728744f32a774e0fa7404e37f8e0b39de0bcba3b53a18e2caa37a525	Mọi thứ đều phải đánh đổi		I took sentences from a website of Vietnamese storytelling.
086bbfb12d760799aa205bc55fbd4ed5ac029bcc7de6d569eb17d78831d73b45	Rồi nhăn nanh lao về phía trước		I took sentences from a website of Vietnamese storytelling.
087745f055bc5ea09424c346ead5e428596562b9db4aa9216dd81829e2ce0368	Đến ả gà mái còn khinh		th? l?c bát 
0878778eac2b549a431cd426240cd118e03f28f96550554e00e1a188c26a2843	Ui trời...đất lở trời long		th? l?c bát 
0893c46a73613fd1a09be08a6b429947be618c513381ac0682ba77d796a11104	Rồi tất cả nín thở chờ đợi bảo phá cửa		I took sentences from a website of Vietnamese storytelling.
08d7d24114c89ec58958a3c281dd57eceb5af4214d18eeb3a37702e4da25b2b2	Trang liền bảo		I took sentences from a website of Vietnamese storytelling.
08fffa48054769181a5bb7e93c074185543bf32dd55cb82a0eb0a1d4af53d7c4	Gần như là cầm chắc cái chết		I took sentences from a website of Vietnamese storytelling.
09054069e252b883e3a32fc822bf3075b94d24d9f6043f8a17ca0e2b4556dcc1	Không sao đâu		I took sentences from a website of Vietnamese storytelling.
09083054a3ef91653e07389924ab124dc9d59dae453b6a9f205a488e77c07ec9	Cái đồng hồ quả lắc đã học một năm		I took sentences from a website of Vietnamese storytelling.
090de55e9f00e8900e512a47b97a46271c8f11dd498468639c18768516826cb4	Nên con bé bị câm		I took sentences from a website of Vietnamese storytelling.
090eb899e82a227cfa32b37ec1f1c2527c401066f1f5584d011577ef6b0d5290	Nhưng ông ta tiến lại gần		I took sentences from a website of Vietnamese storytelling.
091d5de3f2c74f92b321f37499a5ac95fb4dd907d1a7c1be8e5f3c83a71db3da	Con tin bà		I took sentences from a website of Vietnamese storytelling.
0924a433fcf00cd9b43b6e7e02bcabcb35978e3d56d4d10125daafab5811e2a0	Tử thi khí nồng nặc khắp trời		I took sentences from a website of Vietnamese storytelling.
0934e128b2b820eef1b338ab1cc530bf6ad15d98c3b1c01012c856c4f73806c7	trong tay lải có một số hộp thuốc		I took sentences from a website of Vietnamese storytelling.
093596a993e97c541a69ea636c92c69222c0bb6430e39f115364ed7ca2545489	Không chắc chắn nó sẽ quay lại đó		I took sentences from a website of Vietnamese storytelling.
094abe3a3587261133eec71990171c770fa9a0b8acb0f9975e860e7f776c2573	Thương chậm rãi bò tới gần chiếc áo quan		I took sentences from a website of Vietnamese storytelling.
094ebac0f6d66f05e2023a5168b985128ab72917118fa97aa556fd2c0cd1f9f5	Một kho vàng không bằng một nang chữ.		ca dao t?c ng? 
096ddc85857d26fe6484b0f75b0c0f02c1110ad6508cb4b99498baba3a15deae	Tôi thở dồn dập		I took sentences from a website of Vietnamese storytelling.
098204b49b1ad71dd8a65596de45f7cd5cb4b053f17d72d7b528b9ab137cb69f	Đồng thời lúc này tư cầm một viên thuốc đen đen		I took sentences from a website of Vietnamese storytelling.
098abf312aaa36f4649934852db440bd33b5bc955b990bd49d95a5ee6d952c9c	từng tiếng kêu cứ phát ra giữa màn đêm		I took sentences from a website of Vietnamese storytelling.
0992ec6c9204008e4ce2665d6e090347507c32441f0004baebf4df617171f44d	vừa đi vừa ngậm điếu thuốc tỏa ra khói trắng		I took sentences from a website of Vietnamese storytelling.
099800a7e717bde857da2130b703b53ac66cc86f9399e79f2cacd7aee0875536	Hay là thiếu một lá nào		I took sentences from a website of Vietnamese storytelling.
09a830f238aa6a37b22c2e4c97419077dfa0875c71bc2b6351d2fccced387116	Mong thầy giúp đỡ đứa bé này		I took sentences from a website of Vietnamese storytelling.
09a9a0443e184ba457861a7ea1be3f8c00d7ce6472364c642806b9a297842817	Bây giờ thế này, con bắt người ta quí mình là vô lý rồi.		Tác ph?m c?a V? Tr?ng Ph?ng
09b6cae3aa141d2424dab109f1f2f9c69e739058335c6d7d59fe20c00c8bc94b	Bật tý âm nhạc cho dễ ngủ xem nào		I took sentences from a website of Vietnamese storytelling.
09c2bd385e04bb0be49c87036ecc20ee07b24ab9c488c0f237c741fc3840e316	Bọn họ đều phát hiện ra		I took sentences from a website of Vietnamese storytelling.
09cabb89255eaa227bc0057d81c1d4f9b99d10b73e5ed2705334835bbfd7fbd7	Thưa chú cháu xin chú		I took sentences from a website of Vietnamese storytelling.
0a09eb1e7d07d4bc4597640f1bb0362791bb116b396816a5c67cc95292660015	Nghe lưu tiên sinh giải thích		I took sentences from a website of Vietnamese storytelling.
0a0b79af90dd132e95a59e32367ba7ce7e132385cfcc8a3fad3bc51ce0fb7e2c	Vì không biết rằng bà cụ lại làm như vậy		I took sentences from a website of Vietnamese storytelling.
0a2a254e9d2acc9c34616b3ebcd705532bb3250da6a45d4c9fb9c512a3559b24	Ngoài trời đã đổ cơn mưa,		th? l?c bát
0a2aefe08b15905a649361cfb81e274e76b807292e76d144b19f4e6cb1c27d1d	Lưu tiên sinh gật đầu mỉm cười nói		I took sentences from a website of Vietnamese storytelling.
0a30928a67f9ecabc8afe655585e50133a8026a541f8414dba2c34065289461a	Toàn thân Đau nhức ê ẩm		I took sentences from a website of Vietnamese storytelling.
0a30bb1e8ba41d0b32712a2b8c582a5cadae88d50d17f07b1f19fac800a49240	Cho đến khi tư không còn sức để đâm nữa		I took sentences from a website of Vietnamese storytelling.
0a42e89cf5bacc1d5d83e359169fcd1ee4e91ff9980a2bc2f7153d23a32d04a1	Lại yểm thêm bốn lá bùa ở bốn góc trên nóc quan tài		I took sentences from a website of Vietnamese storytelling.
0a508d47b3fd491983511107c136c8eb65d2c1a8851b0366031777651949831a	Ông Khanh cả đêm trằn trọc không ngủ nổi		I took sentences from a website of Vietnamese storytelling.
0a622f2b79760d3a6f500f6ad2b3ef4db408a9e6a6af5bcd52b51cf1f061c1fc	Nhưng có một điều chắc chắn hai người đàn ông trong nhà		I took sentences from a website of Vietnamese storytelling.
0a78f5ba3489ca564523e74e6e9b9249306defd71547621286d87206a3630217	kêu lên những tiếng ai oán như từ âm phủ vọng về		I took sentences from a website of Vietnamese storytelling.
0a942219f3040331c69cb48fa0fc1b2c886369227cafa5a8ce0c371c4ca84fda	Cho anh lời đẹp ý hay dịu dàng		th? l?c bát
0a9ff7f7dac28e12a9478eec67769d4c5823f392c388e5d7f8a2d176e957d905	Nơi đây xin trọn câu thề		th? l?c bát
0aaa16eafa1e409c8b9f738098e725d87fb819e414d3f65c42789d25b8b44149	trong tay lải của thầy tôi có những phương thuốc cứu người		I took sentences from a website of Vietnamese storytelling.
0abe7007db49986fe5adcd2585826b8403bb0d906e14be2c53058bf7e440bcba	Vì sao Nó bị chết		I took sentences from a website of Vietnamese storytelling.
0ac02a8ea3e35bff90ff8b68adcbeda90ec2f79b10c085130f0415ac19ad6c12	Nhưng mà người ta lại đi khinh bỉ rẻ rúng con!		Tác ph?m c?a V? Tr?ng Ph?ng
0ac0ddb62965fbe83e30d3c94cd0a756b01a2fb01f4e48991bbf7333ca8c3245	Chính là một loại âm binh có thể lợi dụng được		I took sentences from a website of Vietnamese storytelling.
0ae0ec749c66a70a110d79295fb452fc8f6dbbcd74b91aebd8f0da8cad080040	cả làng đang đòn ầm lên kìa		I took sentences from a website of Vietnamese storytelling.
0ae78ba8fc7fcee524c116190656effeac880048575e92700bd33c90bd2b3559	Nhưng trời thương tình		I took sentences from a website of Vietnamese storytelling.
0b02654adb261611dd5778d8beb3302c0a400f271b9da23bb6433f1d5ebe3212	Bố nàng trợn mắt, hỏi rằng bạc uk?		th? 6 8
0b16d543e36e73edd197abea915eaf26655d065189107643ddac99598e8b1198	dạng như là nội thương		I took sentences from a website of Vietnamese storytelling.
0b26648fa5ba5c7eec93def40ad60423f525d5e441efa6c51cedd88ef019acdb	Mở cửa bước vào bên trong Ông Phúc nói		I took sentences from a website of Vietnamese storytelling.
0b33b5b7e8fb88fb8b2ccdc4ce7f059df66bdd19fc0b80dd27e4eb65a7b8ffa3	Rồi đưa viên thuốc vào		I took sentences from a website of Vietnamese storytelling.
0b4640a7605cc4b0e86bbd83822256613c94a625e3df92a3dd63976d3e72409f	Ăn cơm nhà vác tù và hàng tổng		ca dao t?c ng? 
0b648ca792aa6092009e1c587f007e8cc6ae253a6e0d065e895232f3b3ff4394	Là con mèo đó		I took sentences from a website of Vietnamese storytelling.
0b6e53eaffc0ad9fbd50d2f9946990848867c7bab01ceeac09aef569ba56c91a	Lại Thần hồn nát thần tính		I took sentences from a website of Vietnamese storytelling.
0b73b8f434d2229fc2ab667541e9eebf4f106ab2ae11c6f20a158e76e6742cc0	Nên chả nói năng gì chỉ gật và lắc		I took sentences from a website of Vietnamese storytelling.
0b743e88f4e5993ff32659cd6d64623e5d9c912d3c0bfd5b27db5c9f3069c1b2	Vì nếu phải ở lại đây thì quả đó là một điều kinh khủng		I took sentences from a website of Vietnamese storytelling.
0b79b306d8af9d1523088fa15c49b82e7fb3c096d4620adce54fe76af975824d	mà đêm qua không thấy có chuyện gì hay là bình yên rồi ông		I took sentences from a website of Vietnamese storytelling.
0b8958e9f2029de63d4ef5bb93b64205e8891dbaa3a94fc3168f4814f4c9c388	Điều kiện đều rất tốt nhưng mà chắc có lẽ ông nên biết		I took sentences from a website of Vietnamese storytelling.
0b8c2e2d7f22437df94321a8238109c946148c360909e331b090a5f54bf67eae	Giờ anh và an không thể dứt được		I took sentences from a website of Vietnamese storytelling.
